timestamp,temperature,humidity,pressure,wind_speed
2021-01-01 00:00:00,14.9,80.1,1013.2,14.7
2021-01-01 01:00:00,12.7,80.2,1012.0,8.5
2021-01-01 02:00:00,10.1,84.8,1014.0,8.1
2021-01-01 03:00:00,8.7,86.4,1015.2,11.9
2021-01-01 04:00:00,7.0,88.4,1014.5,16.2
2021-01-01 05:00:00,5.5,82.1,1014.0,8.8
2021-01-01 06:00:00,4.9,79.9,1015.3,17.4
2021-01-01 07:00:00,4.2,73.2,1014.4,14.5
2021-01-01 08:00:00,2.1,72.1,1014.9,16.8
2021-01-01 09:00:00,2.6,65.6,1014.8,12.3
2021-01-01 10:00:00,2.8,65.2,1016.3,8.4
2021-01-01 11:00:00,3.6,62.6,1016.8,9.6
2021-01-01 12:00:00,3.7,57.2,1016.3,10.8
2021-01-01 13:00:00,4.6,61.0,1016.5,15.2
2021-01-01 14:00:00,5.5,59.8,1017.7,34.3
2021-01-01 15:00:00,6.5,52.6,1016.7,18.1
2021-01-01 16:00:00,7.3,51.2,1017.8,14.7
2021-01-01 17:00:00,7.4,56.8,1018.5,27.3
2021-01-01 18:00:00,7.7,57.6,1017.8,25.1
2021-01-01 19:00:00,6.8,60.2,1018.6,13.7
2021-01-01 20:00:00,5.9,65.2,1017.2,14.1
2021-01-01 21:00:00,4.7,72.0,1021.6,14.1
2021-01-01 22:00:00,4.3,74.4,1020.0,17.1
2021-01-01 23:00:00,4.1,76.5,1019.4,10.4
2021-01-02 00:00:00,3.9,80.5,1021.1,8.1
2021-01-02 01:00:00,2.7,82.2,1018.5,11.8
2021-01-02 02:00:00,1.7,88.8,1020.5,11.0
2021-01-02 03:00:00,1.3,90.9,1019.6,9.5
2021-01-02 04:00:00,0.2,84.5,1021.6,9.8
2021-01-02 05:00:00,-0.9,80.3,1019.5,8.8
2021-01-02 06:00:00,-1.0,76.9,1020.6,8.0
2021-01-02 07:00:00,-1.7,77.2,1020.7,21.2
2021-01-02 08:00:00,-0.5,70.0,1020.6,18.5
2021-01-02 09:00:00,0.1,71.2,1020.7,11.3
2021-01-02 10:00:00,1.6,68.3,1020.9,11.2
2021-01-02 11:00:00,1.8,60.3,1020.8,18.3
2021-01-02 12:00:00,2.2,60.4,1019.8,10.4
2021-01-02 13:00:00,2.7,53.3,1023.5,15.7
2021-01-02 14:00:00,2.9,56.9,1021.6,13.6
2021-01-02 15:00:00,4.0,53.2,1020.9,13.6
2021-01-02 16:00:00,5.4,57.3,1021.5,22.6
2021-01-02 17:00:00,7.0,59.0,1021.5,18.5
2021-01-02 18:00:00,7.0,61.0,1022.2,16.0
2021-01-02 19:00:00,6.4,63.7,1019.8,13.4
2021-01-02 20:00:00,6.6,67.9,1020.4,18.1
2021-01-02 21:00:00,6.2,66.0,1019.2,11.0
2021-01-02 22:00:00,5.0,75.5,1021.6,10.3
2021-01-02 23:00:00,3.8,74.5,1021.4,9.6
2021-01-03 00:00:00,2.9,87.4,1019.6,12.0
2021-01-03 01:00:00,2.5,93.8,1021.9,17.0
2021-01-03 02:00:00,74.5,83.2,1021.2,11.3
2021-01-03 03:00:00,1.7,85.7,1021.6,8.3
2021-01-03 04:00:00,-0.4,90.5,1020.6,11.0
2021-01-03 05:00:00,0.3,76.3,1021.5,34.9
2021-01-03 06:00:00,-0.9,79.0,1020.8,25.3
2021-01-03 07:00:00,-0.5,74.2,1019.8,14.9
2021-01-03 08:00:00,0.5,75.3,1018.6,8.9
2021-01-03 09:00:00,0.7,71.2,1019.9,9.0
2021-01-03 10:00:00,0.5,63.6,1019.9,19.0
2021-01-03 11:00:00,1.5,62.6,1020.8,12.8
2021-01-03 12:00:00,1.6,61.3,1017.7,10.4
2021-01-03 13:00:00,2.3,56.5,1018.7,13.0
2021-01-03 14:00:00,2.9,53.3,1018.6,11.9
2021-01-03 15:00:00,4.6,44.6,1019.7,40.1
2021-01-03 16:00:00,5.5,56.4,1018.5,23.5
2021-01-03 17:00:00,7.2,59.1,1017.9,13.9
2021-01-03 18:00:00,7.6,55.3,1016.4,18.1
2021-01-03 19:00:00,6.1,68.0,1018.1,14.1
2021-01-03 20:00:00,5.1,60.0,1018.0,12.1
2021-01-03 21:00:00,4.9,67.7,1017.3,15.1
2021-01-03 22:00:00,4.2,71.9,1016.8,12.6
2021-01-03 23:00:00,3.1,82.3,1016.1,8.5
2021-01-04 00:00:00,1.9,81.7,1018.1,13.1
2021-01-04 01:00:00,1.3,82.6,1017.8,12.0
2021-01-04 02:00:00,0.5,84.7,1017.6,19.7
2021-01-04 03:00:00,0.4,79.5,1015.5,12.4
2021-01-04 04:00:00,0.1,85.7,1015.0,16.0
2021-01-04 05:00:00,0.8,87.1,1014.0,9.2
2021-01-04 06:00:00,0.4,82.0,1015.3,10.6
2021-01-04 07:00:00,-0.9,76.2,1014.4,21.3
2021-01-04 08:00:00,0.4,67.7,1015.1,8.1
2021-01-04 09:00:00,-0.4,69.8,1013.4,21.4
2021-01-04 10:00:00,0.6,60.4,1014.1,15.7
2021-01-04 11:00:00,0.9,67.2,1014.6,17.8
2021-01-04 12:00:00,1.9,64.8,1012.6,17.2
